,0,3,6,9,12,15,18,21
352,"-3,8","-0,1","-4,9","-5,1","-2,1",-2,-4,"-6,9"
353,"-0,1","1,8","-0,2","-1,1","-1,4",-1,"-1,7","-2,7"
354,"2,9","1,7","1,4","2,4","2,3","2,5",3,"1,7"
355,2,"-0,9","1,7","2,1","2,4","2,8","2,2","2,6"
356,"-0,9","-0,9","-0,3","0,7","1,6","2,2","2,5","2,5"
357,"-0,5",1,"-1,8","-0,9","0,6","0,2",0,-1
358,"0,8","1,3","0,1","0,2","1,3",1,"-0,2","-0,6"
359,"1,4","-2,9","1,2",1,"1,3",1,"0,8","0,6"
360,-3,"-6,2","-3,4","-3,5","-3,1","-2,4","-1,2","1,4"
361,"-5,2","-7,9","-7,3","-5,4",-3,"-2,9","-3,2",-3
362,"-6,4","-8,1","-9,5",-9,"-2,9","-2,5","-5,4","-5,5"
363,"-7,2","-7,3","-8,6","-6,9",-1,"0,3","-2,8",-5
364,-7,"-9,3","-7,6","-7,4","-3,7","-1,4","-3,3","-5,1"
365,"-8,5","-9,4","-9,9","-9,8","-4,6","-3,5","-6,9",-7
366,-9,-5,"-9,8","-9,4",-4,"-2,7","-5,5","-6,6"
367,"-4,2","-0,5","-5,7","-5,4","-3,5","-3,7","-6,6","-7,8"
368,"-0,3","-0,1","-0,3","-0,3","-0,9","-2,7","-3,8","-3,9"
369,"-0,7","-2,2",0,0,1,"1,6","0,7","0,2"
370,"0,7","-0,3","-3,5","-1,5",-1,0,"0,3","-0,4"
